Team Name,Journey Created,TC Executed,TC Passed
PHD,118,0,0
OV,79,40,21
Dynamic Yard Fusion (DYF),230,198,37
Online Appointment Scheduling (OAS),263,230,144
AIR (AIR),6,101,84
Barge (BARGE),8,7,6
Ocean (OC),56,53,47
RAIL (RAIL),16,13,5
LTL (LTLNG),63,60,58
Redesign (RD),133,120,104
Address Manager (ADM),4,5,3
Collaboration (COL),18,17,4
Core Application(UM),29,6,2
