Team Name,Journey Created,TC Executed,TC Passed
PHD,118,0,0
OV,79,40,0
Dynamic Yard Fusion (DYF),230,198,23
Online Appointment Scheduling (OAS),263,230,137
AIR (AIR),6,99,88
Barge (BARGE),8,7,6
Ocean (OC),56,53,50
RAIL (RAIL),16,13,5
LTL (LTLNG),62,60,56
Redesign (RD),133,117,103
Address Manager (ADM),4,5,3
Collaboration (COL),18,17,17
Core Application(UM),29,6,0
