Team Name,Journey Created,TC Executed,TC Passed
PHD,118,0,0
OV,79,0,0
Dynamic Yard Fusion (DYF),224,187,52
Online Appointment Scheduling (OAS),263,258,170
AIR (AIR),6,0,0
Barge (BARGE),7,0,0
Ocean (OC),56,0,0
RAIL (RAIL),16,0,0
LTL (LTLNG),62,58,53
Redesign (RD),130,0,0
Address Manager (ADM),4,0,0
Collaboration (COL),17,0,0
Core Application(UM),29,0,0
