Team Name,Journey Created,TC Executed,TC Passed
PHD,118,0,0
OV,79,40,0
Dynamic Yard Fusion (DYF),224,198,60
Online Appointment Scheduling (OAS),263,208,108
AIR (AIR),6,99,84
Barge (BARGE),7,7,7
Ocean (OC),55,53,49
RAIL (RAIL),16,13,6
LTL (LTLNG),62,60,55
Redesign (RD),130,117,111
Address Manager (ADM),4,5,3
Collaboration (COL),17,17,4
Core Application(UM),29,6,2
